almond.n.01	almond
goldsmith.n.02	Goldsmith
partnership.n.02	partnership
estate.n.01	estate
reporter.n.01	reporter
grass.n.01	grass
belt.n.03	belt
moon.n.01	Moon
pipe.n.01	pipe
base.n.05	base
file_clerk.n.01	file_clerk
matter.n.04	matter
press.n.02	press
heel.n.05	heel
van.n.05	van
young_person.n.01	young_person
pickpocket.n.01	pickpocket
crane.n.02	Crane
lawn.n.01	lawn
carbonate.n.01	carbonate
telephone.n.01	telephone
farmer.n.03	Farmer
spitball.n.01	spitball
horizontal_surface.n.01	horizontal_surface
capuchin.n.02	capuchin
voice.n.10	voice
overlord.n.01	overlord
singer.n.01	singer
conditioner.n.01	conditioner
band.n.04	band
pressure.n.06	pressure
people.n.03	people
sunspot.n.01	sunspot
action.n.01	action
orbit.n.01	orbit
article.n.03	article
cactus.n.01	cactus
bedpan.n.01	bedpan
fin.n.05	fin
factor.n.06	factor
sunflower.n.01	sunflower
choir.n.02	choir
bucket.n.01	bucket
cubby.n.01	cubby
nanny.n.01	nanny
polarity.n.02	polarity
support.n.03	support
publisher.n.02	publisher
driver.n.01	driver
crew.n.01	crew
fly.n.01	fly
culture.n.07	culture
pilot_program.n.02	pilot_program
production_line.n.01	production_line
earth.n.05	earth
community.n.06	community
measuring_stick.n.01	measuring_stick
match.n.04	match
knob.n.01	knob
question.n.02	question
background.n.07	background
judgment.n.04	judgment
range.n.04	range
bachelor_of_arts_in_nursing.n.01	Bachelor_of_Arts_in_Nursing
garland.n.01	Garland
barrier.n.02	barrier
hall.n.10	Hall
cast.n.06	cast
producer.n.03	producer
pouch.n.01	pouch
kernel.n.03	kernel
enactment.n.01	enactment
venue.n.01	venue
italic.n.02	Italic
clavicle.n.01	clavicle
umbrella.n.01	umbrella
bulldog.n.01	bulldog
documentary.n.01	documentary
drift.n.02	drift
class.n.08	class
soil.n.02	soil
buttonhole.n.01	buttonhole
third.n.03	third
crew.n.04	crew
nature.n.03	nature
service.n.13	service
date.n.06	date
cracker.n.05	cracker
footnote.n.01	footnote
session.n.03	session
library.n.03	library
heart.n.07	heart
satin.n.01	satin
roof.n.02	roof
shipwreck.n.03	shipwreck
darkness.n.06	darkness
psychiatry.n.01	psychiatry
literature.n.02	literature
throat.n.04	throat
bash.n.02	bash
case.n.11	case
algorithm.n.01	algorithm
spur.n.02	spur
destruction.n.01	destruction
server.n.04	server
victory.n.01	victory
randomness.n.02	randomness
lather.n.03	lather
troop.n.01	troop
style.n.06	style
bell_ringer.n.03	bell_ringer
successor.n.03	successor
epicure.n.01	epicure
file.n.04	file
frank.n.02	frank
master.n.04	master
declaration.n.01	declaration
people.n.01	people
hotdog.n.02	hotdog
science.n.01	science
conventicle.n.02	conventicle
fir.n.01	fir
summation.n.04	summation
cultivator.n.02	cultivator
front.n.06	front
stand.n.12	stand
studio.n.01	studio
rocket.n.02	rocket
potato.n.01	potato
embrace.n.02	embrace
burger.n.01	Burger
shark.n.01	shark
essay.n.01	essay
delivery.n.02	delivery
era.n.02	era
ligament.n.01	ligament
date.n.08	date
prosecution.n.02	prosecution
sign.n.10	sign
blacktop.n.01	blacktop
pottery.n.01	pottery
stipulation.n.03	stipulation
horn.n.07	horn
honeycomb.n.02	honeycomb
counterspy.n.01	counterspy
baby.n.06	baby
fundamental_law.n.01	fundamental_law
cedar.n.01	cedar
cube.n.01	cube
wave.n.04	wave
caliper.n.01	caliper
musician.n.01	musician
agent.n.05	agent
world.n.03	world
boodle.n.01	boodle
open.n.03	open
percolator.n.01	percolator
weakling.n.01	weakling
characteristic.n.03	characteristic
compassion.n.02	compassion
turn.n.11	turn
head.n.04	head
young.n.09	young
barrel.n.03	barrel
facade.n.01	facade
one-half.n.01	one-half
visit.n.01	visit
victim.n.01	victim
end.n.09	end
garage.n.01	garage
crepe.n.01	crepe
fly.n.04	fly
chop.n.02	chop
baseball.n.02	baseball
storehouse.n.01	storehouse
developer.n.02	developer
